,year,title,published_at,category,nominee,artist,workers,winner
3654,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Classical Vocal Soloist Performance,Leontyne Price & Marilyn Horne In Concert At The Met,,(James Levine; Metropolitan Opera Orchestra),True
3655,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Engineered Recording, Classical",Mahler: Symphony No. 9 In D,,"James Lock, engineer (Georg Solti, conductor)",True
3656,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Classical Producer Of The Year,Marc Aubort & Joanna Nickrenz,,,True
3657,1982,25th Annual GRAMMY Awards  (1982),2017-11-28 00:03:45-08:00,Record Of The Year,Rosanna,Toto,"Toto (Bobby Kimball, Steve Lukather, David Paich, Jeff Porcaro, Michael Porcaro & Steve Porcaro), producers",True
3658,1982,25th Annual GRAMMY Awards  (1982),2017-11-28 00:03:45-08:00,Album Of The Year,Toto IV,Toto,"Toto (Bobby Kimball, Steve Lukather, David Paich, Jeff Porcaro, Michael Porcaro & Steve Porcaro), producers",True
3659,1982,25th Annual GRAMMY Awards  (1982),2017-11-28 00:03:45-08:00,Song Of The Year,Always On My Mind,,"Wayne Carson, Johnny Christopher & Mark James, songwriters (Willie Nelson)",True
3660,1982,25th Annual GRAMMY Awards  (1982),2017-11-28 00:03:45-08:00,Best New Artist,Men At Work,,,True
3661,1982,25th Annual GRAMMY Awards  (1982),2017-11-28 00:03:45-08:00,"Best Pop Vocal Performance, Female",You Should Hear How She Talks About You,Melissa Manchester,,True
3662,1979,22nd Annual GRAMMY Awards  (1979),2017-11-28 00:03:45-08:00,Best Comedy Recording,Reality...What A Concept,Robin Williams,,True
3663,1982,25th Annual GRAMMY Awards  (1982),2017-11-28 00:03:45-08:00,"Best Pop Vocal Performance, Male",Truly,Lionel Richie,,True
3664,1982,25th Annual GRAMMY Awards  (1982),2017-11-28 00:03:45-08:00,Best Pop Performance By A Duo Or Group With Vocal,Up Where We Belong,Joe Cocker & Jennifer Warnes,,True
